0101-0103	Tochigi
0104-0107	Kobe
0108-0110	Nagoya
0111-0113	Kobe
0114-0125	Hida
0126-0131	Kobe
0201	Tokyo
0202-0207	Kobe
0208-0211	Nagano
0212-0214	Kobe
0215	Tokyo
0216-0219	Kobe
0220-0228	Hida
0301	Tokyo
0302-0320	Kobe
0321-0324	Tokyo
0325-0329	Kobe
0330-0402	Hida
0403-0411	Kobe
0412-0417	Okinawa
0418	Kobe
0419-0501	Hida
0502-0506	Tochigi
0507-0518	Kobe
0519-0529	Hida
0530-0602	Kobe
0603-0605	Sendai
0606-0607	Tokyo
0608-0704	Hida
0705-0801	Kobe
0802	Tochigi
0803-0806	Kobe
0807	Hida
0808-0809	Mountain
0810-0813	Hida
0814-0816	Kobe
0817-0821	Hida
0822-0823	Tochigi
0824-0825	Ibaraki
0826-0830	Kobe
0831-0905	Hida
0906-0908	Kobe
0909-0919	Hida
0920-0922	Kobe
0923	Osaka
0924-0926	Kobe
0927-0928	Osaka
0929-1001	Kobe
1002-1003	Hida
1004	Mountain
1005-1006	Hida
1007-1011	Kobe
1012-1020	Hida
1021-1023	Kobe
1024-1025	Ibaraki
1026-1102	Kobe
1103	Shodoshima
1104-1108	Kobe
1109-1114	Hida
1115-1121	Kobe
1122	Kyoto
1123-1124	Kobe
1125-1207	Hida
1208-1220	Kobe
1221-1223	Hida
1224-1225	Kobe
1226	Yokohama
1227-1231	Tochigi
